Week,Data,Tamponi,Tamponi Tot,Positivi,Positivi Tot,Domicilio,Ricoverati,T.I.,Progressivo,Guariti,Guariti Tot,Deceduti,Deceduti Tot,Contagiati Tot,Crescita
1,23-feb,,, 132   , 132   ,,, 26   ,, 1   , 1   , 2   , 2   , 135   , 135   
1,24-feb, 4.324   , 4.324   , 90   , 222   , 94   , 101   , 27   , 1   , -     , 1   , 4   , 6   , 229   , 94   
1,25-feb, 4.299   , 8.623   , 89   , 311   , 162   , 114   , 35   , 8   , -     , 1   , 4   , 10   , 322   , 93   
1,26-feb, 964   , 9.587   , 74   , 385   , 221   , 128   , 36   , 1   , 2   , 3   , 2   , 12   , 400   , 78   
1,27-feb, 2.427   , 12.014   , 203   , 588   , 284   , 248   , 56   , 20   , 42   , 45   , 5   , 17   , 650   , 250   
1,28-feb, 3.681   , 15.695   , 233   , 821   , 412   , 345   , 64   , 8   , 1   , 46   , 4   , 21   , 888   , 238   
1,29-feb, 2.966   , 18.661   , 228   , 1.049   , 543   , 401   , 105   , 41   , 4   , 50   , 8   , 29   , 1.128   , 240   
1,01-mar, 2.466   , 21.127   , 528   , 1.577   , 798   , 639   , 140   , 35   , 33   , 83   , 5   , 34   , 1.694   , 566   
2,02-mar, 2.218   , 23.345   , 258   , 1.835   , 927   , 742   , 166   , 26   , 66   , 149   , 18   , 52   , 2.036   , 342   
2,03-mar, 2.511   , 25.856   , 428   , 2.263   , 1.000   , 1.034   , 229   , 63   , 11   , 160   , 27   , 79   , 2.502   , 466   
2,04-mar, 3.981   , 29.837   , 443   , 2.706   , 1.065   , 1.346   , 295   , 66   , 116   , 276   , 28   , 107   , 3.089   , 587   
2,05-mar, 2.525   , 32.362   , 590   , 3.296   , 1.155   , 1.790   , 351   , 56   , 138   , 414   , 41   , 148   , 3.858   , 769   
2,06-mar, 3.997   , 36.359   , 620   , 3.916   , 1.060   , 2.394   , 462   , 111   , 109   , 523   , 49   , 197   , 4.636   , 778   
2,07-mar, 5.703   , 42.062   , 1.145   , 5.061   , 1.843   , 2.651   , 567   , 105   , 66   , 589   , 36   , 233   , 5.883   , 1.247   
2,08-mar, 7.875   , 49.937   , 1.326   , 6.387   , 2.180   , 3.557   , 650   , 83   , 33   , 622   , 133   , 366   , 7.375   , 1.492   
3,09-mar, 3.889   , 53.826   , 1.598   , 7.985   , 2.936   , 4.316   , 733   , 83   , 102   , 724   , 97   , 463   , 9.172   , 1.797   
3,10-mar, 6.935   , 60.761   , 1.129   , 9.114   , 3.199   , 5.038   , 877   , 144   , 280   , 1.004   , 168   , 631   , 10.749   , 1.577   
3,11-mar, 12.393   , 73.154   , 1.476   , 10.590   , 3.724   , 5.838   , 1.028   , 151   , 41   , 1.045   , 196   , 827   , 12.462   , 1.713   
3,12-mar, 12.857   , 86.011   , 2.249   , 12.839   , 5.036   , 6.650   , 1.153   , 125   , 213   , 1.258   , 188   , 1.015   , 15.112   , 2.650   
3,13-mar, 11.477   , 97.488   , 2.116   , 14.955   , 6.201   , 7.426   , 1.328   , 175   , 181   , 1.439   , 250   , 1.265   , 17.659   , 2.547   
3,14-mar, 11.682   , 109.170   , 2.795   , 17.750   , 7.860   , 8.372   , 1.518   , 190   , 527   , 1.966   , 175   , 1.440   , 21.156   , 3.497   
3,15-mar, 15.729   , 124.899   , 2.853   , 20.603   , 9.268   , 9.663   , 1.672   , 154   , 369   , 2.335   , 368   , 1.808   , 24.746   , 3.590   
4,16-mar, 13.063   , 137.962   , 2.470   , 23.073   , 10.197   , 11.025   , 1.851   , 179   , 414   , 2.749   , 349   , 2.157   , 27.979   , 3.233   
4,17-mar, 10.695   , 148.657   , 2.989   , 26.062   , 11.108   , 12.894   , 2.060   , 209   , 192   , 2.941   , 345   , 2.502   , 31.505   , 3.526   
4,18-mar, 16.884   , 165.541   , 2.648   , 28.710   , 12.090   , 14.363   , 2.257   , 197   , 1.084   , 4.025   , 476   , 2.978   , 35.713   , 4.208   
4,19-mar, 17.236   , 182.777   , 4.480   , 33.190   , 14.935   , 15.757   , 2.498   , 241   , 415   , 4.440   , 427   , 3.405   , 41.035   , 5.322   
4,20-mar, 24.109   , 206.886   , 4.670   , 37.860   , 19.185   , 16.020   , 2.655   , 157   , 689   , 5.129   , 627   , 4.032   , 47.021   , 5.986   
4,21-mar, 26.336   , 233.222   , 4.821   , 42.681   , 22.116   , 17.708   , 2.857   , 202   , 943   , 6.072   , 790   , 4.822   , 53.575   , 6.554   
4,22-mar, 25.180   , 258.402   , 3.957   , 46.638   , 23.783   , 19.846   , 3.009   , 152   , 952   , 7.024   , 654   , 5.476   , 59.138   , 5.563   
