Week,Data,Tamponi,Tamponi Tot,Positivi,Positivi Tot,Domicilio,Ricoverati,T.I.,Progressivo,Guariti,Guariti Tot,Deceduti,Deceduti Tot,Contagiati Tot,Crescita
1,24/02/20,4324,4324,222,221,94,101,26,27,1,1,6,7,229,229
1,25/02/20,4299,8623,90,311,162,114,35,9,0,1,3,10,322,93
1,26/02/20,964,9587,74,385,221,128,36,1,2,3,2,12,400,78
1,27/02/20,2427,12014,203,588,284,248,56,20,42,45,5,17,650,250
1,28/02/20,3681,15695,233,821,412,345,64,8,1,46,4,21,888,238
1,29/02/20,2966,18661,228,1049,543,401,105,41,4,50,8,29,1128,240
1,01/03/20,2466,21127,528,1577,798,639,140,35,33,83,5,34,1694,566
2,02/03/20,2218,23345,258,1835,927,742,166,26,66,149,18,52,2036,342
2,03/03/20,2511,25856,428,2263,1000,1034,229,63,11,160,27,79,2502,466
2,04/03/20,3981,29837,443,2706,1065,1346,295,66,116,276,28,107,3089,587
2,05/03/20,2525,32362,590,3296,1155,1790,351,56,138,414,41,148,3858,769
2,06/03/20,3997,36359,620,3916,1060,2394,462,111,109,523,49,197,4636,778
2,07/03/20,5703,42062,1145,5061,1843,2651,567,105,66,589,36,233,5883,1247
2,08/03/20,7875,49937,1326,6387,2180,3557,650,83,33,622,133,366,7375,1492
3,09/03/20,3889,53826,1598,7985,2936,4316,733,83,102,724,97,463,9172,1797
3,10/03/20,6935,60761,529,8514,2599,5038,877,144,280,1004,168,631,10149,977
3,11/03/20,12393,73154,2076,10590,3724,5838,1028,151,41,1045,196,827,12462,2313
3,12/03/20,12857,86011,2249,12839,5036,6650,1153,125,213,1258,189,1016,15113,2651
3,13/03/20,11477,97488,2116,14955,6201,7426,1328,175,181,1439,250,1266,17660,2547
3,14/03/20,11682,109170,2795,17750,7860,8372,1518,190,527,1966,175,1441,21157,3497
3,15/03/20,15729,124899,2853,20603,9268,9663,1672,154,369,2335,368,1809,24747,3590
4,16/03/20,13063,137962,2470,23073,10197,11025,1851,179,414,2749,349,2158,27980,3233
4,17/03/20,10695,148657,2989,26062,11108,12894,2060,209,192,2941,345,2503,31506,3526
4,18/03/20,16884,165541,2648,28710,12090,14363,2257,197,1084,4025,475,2978,35713,4207
4,19/03/20,17236,182777,4480,33190,14935,15757,2498,241,415,4440,427,3405,41035,5322
4,20/03/20,24109,206886,4670,37860,19185,16020,2655,157,689,5129,627,4032,47021,5986
4,21/03/20,26336,233222,4821,42681,22116,17708,2857,202,943,6072,793,4825,53578,6557
4,22/03/20,25180,258402,3957,46638,23783,19846,3009,152,952,7024,651,5476,59138,5560
5,23/03/20,17066,275468,3780,50418,26522,20692,3204,195,408,7432,601,6077,63927,4789
5,24/03/20,21496,296964,3612,54030,28697,21937,3396,192,894,8326,743,6820,69176,5249
5,25/03/20,27481,324445,3491,57521,30920,23112,3489,93,1036,9362,683,7503,74386,5210
5,26/03/20,36615,361060,4492,62013,33648,24753,3612,123,999,10361,662,8165,80539,6153
5,27/03/20,33019,394079,4401,66414,36653,26029,3732,120,589,10950,969,9134,86498,5959
